Key,FinancialCase,CostCase,CRPYears,Technology,TechDetail,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
RA3CSClass11,RD,Advanced,30,CSP,Class1,7834.580674,7472.204396,7109.828119,6747.451842,6221.510115,5905.288227,5542.417152,5179.546076,4816.675001,4453.803925,4090.93285,3728.061774,3365.190699,3331.642357,3298.094015,3264.545673,3230.997331,3197.448989,3163.900647,3130.352305,3096.803963,3063.255621,3029.707279,2996.158937,2962.610595,2929.062253,2895.51391,2861.965568,2828.417226,2794.868884,2761.320542,2727.7722,2694.223858
RM3CSClass11,RD,Moderate,30,CSP,Class1,7834.580674,7472.204396,7109.828119,6747.451842,6391.646882,6157.977465,5931.088952,5723.997215,5532.338288,5357.76996,5199.581017,5053.286506,4922.924289,4805.418944,4700.307514,4607.38637,4523.126721,4450.945957,4386.115662,4329.642904,4281.659744,4239.797182,4203.617713,4171.759403,4144.537284,4121.585417,4100.432987,4080.34812,4062.764317,4043.747013,4025.095647,4005.376717,3982.08916
RC3CSClass11,RD,Conservative,30,CSP,Class1,7834.580674,7472.204396,7109.828119,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842
RA3CSClass33,RD,Advanced,30,CSP,Class3,7834.580674,7472.204396,7109.828119,6747.451842,6221.510115,5905.288227,5542.417152,5179.546076,4816.675001,4453.803925,4090.93285,3728.061774,3365.190699,3331.642357,3298.094015,3264.545673,3230.997331,3197.448989,3163.900647,3130.352305,3096.803963,3063.255621,3029.707279,2996.158937,2962.610595,2929.062253,2895.51391,2861.965568,2828.417226,2794.868884,2761.320542,2727.7722,2694.223858
RM3CSClass33,RD,Moderate,30,CSP,Class3,7834.580674,7472.204396,7109.828119,6747.451842,6391.646882,6157.977465,5931.088952,5723.997215,5532.338288,5357.76996,5199.581017,5053.286506,4922.924289,4805.418944,4700.307514,4607.38637,4523.126721,4450.945957,4386.115662,4329.642904,4281.659744,4239.797182,4203.617713,4171.759403,4144.537284,4121.585417,4100.432987,4080.34812,4062.764317,4043.747013,4025.095647,4005.376717,3982.08916
RC3CSClass33,RD,Conservative,30,CSP,Class3,7834.580674,7472.204396,7109.828119,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842
RA3CSClass55,RD,Advanced,30,CSP,Class5,7834.580674,7472.204396,7109.828119,6747.451842,6221.510115,5905.288227,5542.417152,5179.546076,4816.675001,4453.803925,4090.93285,3728.061774,3365.190699,3331.642357,3298.094015,3264.545673,3230.997331,3197.448989,3163.900647,3130.352305,3096.803963,3063.255621,3029.707279,2996.158937,2962.610595,2929.062253,2895.51391,2861.965568,2828.417226,2794.868884,2761.320542,2727.7722,2694.223858
RM3CSClass55,RD,Moderate,30,CSP,Class5,7834.580674,7472.204396,7109.828119,6747.451842,6391.646882,6157.977465,5931.088952,5723.997215,5532.338288,5357.76996,5199.581017,5053.286506,4922.924289,4805.418944,4700.307514,4607.38637,4523.126721,4450.945957,4386.115662,4329.642904,4281.659744,4239.797182,4203.617713,4171.759403,4144.537284,4121.585417,4100.432987,4080.34812,4062.764317,4043.747013,4025.095647,4005.376717,3982.08916
RC3CSClass55,RD,Conservative,30,CSP,Class5,7834.580674,7472.204396,7109.828119,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842,6747.451842
RA3OfOTRG11,RD,Advanced,30,OffShoreWind,OTRG1,4066.303866,3786.594906,3554.014318,3346.972499,3158.554202,2985.462534,2825.71351,2677.903666,2540.920488,2413.811823,2295.722049,2185.859507,2083.479706,1987.876929,1898.380441,1854.083622,1814.667329,1779.594173,1748.347254,1720.426995,1695.348423,1672.638841,1651.835844,1632.485668,1614.141871,1596.364328,1578.718564,1560.775415,1542.111022,1522.307198,1500.952146,1477.641599,1451.980392
