kV,MW,ENT,FRCC,MAPP US,MISO IN,MISO MI,MISO MO-IL,MISO W,MISO WUMS,NE,NEISO,NonRTO Midwest,NYISO A-F,NYISO GHI,NYISO J-K,PJM E,PJM ROM,PJM ROR,SOCO,SPP N,SPP S,TVA,VACAR,NP15,SP15,ERCOT,RMPA,AZ-NM-SNV Coal,NWPP Coal
229,300,1.4,1.05,0.7,1.05,1.05,1.05,1.05,1.05,0.9,2.25,1.85,1.35,1.35,13.65,,,,,0.9,0.9,0.95,0.9,2.25,2.25,1,1,1,1
230,600,1.6,1.75,1.05,0.65,0.65,0.65,0.65,0.65,1.05,,,1.95,1.95,,,,,1.2,1.05,1.05,1.25,0.9,2.25,2.25,1,1,1,1
230,900,1.25,1.6,0.85,0.7,0.7,0.7,0.7,0.7,0.7,2.85,,,,,,,,0.95,0.7,0.7,1.05,0.75,2.25,2.25,1,1,1,1
230,1200,1.4,1.4,1.05,1.1,1.1,1.1,1.1,1.1,1,,,,,,,,,0.95,1,1,1,0.75,2.25,2.25,1,1,1,1
345,500,,,,,,,,,,0.65,,,,1.35,,,,,,,,,,,,,,
345,900,1.8,,0.65,0.65,0.6,0.45,0.6,0.65,0.75,2.15,1.35,2.05,3,,,,,,0.75,0.75,,,2.25,2.25,1,1,1,1
345,1800,1.7,,0.75,0.7,0.65,0.5,0.65,0.7,0.6,1.4,1.1,,,,,,1.45,,0.6,0.6,,,2.25,2.25,1,1,1,1
345,3600,,,,0.75,0.85,0.75,0.8,0.95,0.85,1.6,1.75,,,,,,,,0.85,0.85,,,2.25,2.25,1,1,1,1
500,2600,1.4,0.95,0.55,0.6,,0.6,0.6,0.7,0.7,,1.2,,,,4,2.3,1.25,0.9,0.7,0.7,0.75,0.45,2.25,2.25,1,1,1,1
765,4000,0.85,,,0.6,0.7,0.55,0.55,0.65,0.6,,,,,,2.75,2.55,0.85,,0.6,0.6,,,2.25,2.25,1,1,1,1
