,plant_id,rs,rb
0,1,s356,p134
1,2,s356,p134
2,3,s356,p134
3,4,s356,p134
4,5,s356,p134
5,6,s356,p134
6,7,s356,p134
7,8,s356,p134
8,9,s356,p134
9,10,s356,p134
10,12,s356,p134
11,13,s356,p134
12,14,s356,p134
13,15,s356,p134
14,16,s356,p134
15,17,s356,p134
16,18,s356,p134
17,21,s356,p134
18,22,s356,p134
19,23,s356,p134
20,24,s356,p134
21,25,s356,p134
22,26,s356,p134
23,27,s356,p134
24,28,s356,p134
25,29,s356,p134
26,30,s356,p134
27,31,s356,p134
28,37,s356,p134
29,38,s356,p134
30,39,s356,p134
31,40,s356,p134
32,41,s356,p134
33,42,s356,p134
34,43,s356,p134
35,44,s356,p134
36,45,s356,p134
37,46,s356,p134
38,47,s356,p134
39,48,s356,p134
40,49,s356,p134
41,50,s356,p134
42,62,s356,p134
43,71,s356,p134
44,72,s356,p134
45,86,s356,p134
46,87,s356,p134
47,88,s356,p134
48,89,s356,p134
49,90,s356,p134
50,91,s356,p134
51,95,s356,p134
52,96,s356,p134
53,97,s356,p134
54,101,s356,p134
55,102,s356,p134
56,103,s356,p134
57,104,s356,p134
58,105,s356,p134
59,107,s356,p134
60,108,s356,p134
61,109,s356,p134
62,110,s356,p134
63,111,s356,p134
64,112,s356,p134
65,116,s356,p134
66,117,s356,p134
67,119,s356,p134
68,120,s356,p134
69,121,s356,p134
70,122,s356,p134
71,123,s356,p134
72,124,s356,p134
73,126,s356,p134
74,127,s356,p134
75,128,s356,p134
76,129,s356,p134
77,130,s356,p134
78,131,s356,p134
79,132,s356,p134
80,133,s356,p134
81,134,s356,p134
82,135,s356,p134
83,136,s356,p134
84,137,s356,p134
85,138,s356,p134
86,139,s356,p134
87,140,s356,p134
88,141,s356,p134
89,142,s356,p134
90,143,s356,p134
91,144,s356,p134
92,145,s356,p134
93,146,s356,p134
94,147,s356,p134
95,148,s356,p134
96,149,s356,p134
97,150,s356,p134
98,154,s356,p134
99,155,s356,p134
100,156,s356,p134
101,157,s356,p134
102,158,s356,p134
103,166,s356,p134
104,167,s356,p134
105,168,s356,p134
106,169,s356,p134
107,170,s356,p134
108,171,s356,p134
109,172,s356,p134
110,173,s356,p134
111,174,s356,p134
112,175,s356,p134
113,176,s356,p134
