bus_id,dist,rs,rb
1,0.0,s356,p134
2,0.0,s356,p134
3,0.0,s356,p134
4,0.0,s356,p134
5,0.0,s356,p134
6,0.0,s356,p134
7,0.0,s356,p134
8,0.0,s356,p134
9,0.0,s356,p134
10,0.0,s356,p134
11,0.0,s356,p134
12,0.0,s356,p134
13,0.0,s356,p134
14,0.0,s356,p134
15,0.0,s356,p134
16,0.0,s356,p134
17,0.0,s356,p134
18,0.0,s356,p134
19,0.0,s356,p134
20,0.0,s356,p134
21,0.0,s356,p134
22,0.0,s356,p134
23,0.0,s356,p134
24,0.0,s356,p134
25,0.0,s356,p134
26,0.0,s356,p134
27,0.0,s356,p134
28,0.0,s356,p134
29,0.0,s356,p134
30,0.0,s356,p134
31,0.0,s356,p134
32,0.0,s356,p134
33,0.0,s356,p134
34,0.0,s356,p134
35,0.0,s356,p134
36,0.0,s356,p134
37,0.0,s356,p134
38,0.0,s356,p134
39,0.0,s356,p134
40,0.0,s356,p134
41,0.0,s356,p134
42,0.0,s356,p134
43,0.0,s356,p134
44,0.0,s356,p134
45,0.0,s356,p134
46,0.0,s356,p134
47,0.0,s356,p134
48,0.0,s356,p134
49,0.0,s356,p134
50,0.0,s356,p134
51,0.0,s356,p134
52,0.0,s355,p134
53,0.0,s355,p134
54,0.0,s355,p134
55,0.0,s355,p134
56,0.0,s355,p134
57,0.0,s355,p134
58,0.0,s355,p134
59,0.0,s355,p134
60,0.0,s355,p134
61,0.0,s355,p134
62,0.0,s356,p134
63,0.0,s356,p134
64,0.0,s355,p134
65,0.0,s355,p134
66,0.0,s355,p134
67,0.0,s355,p134
68,0.0,s355,p134
69,0.0,s355,p134
70,0.0,s355,p134
71,0.0,s355,p134
72,0.0,s355,p134
73,0.0,s355,p134
74,0.0,s355,p134
75,0.0,s355,p134
76,0.0,s355,p134
77,0.0,s355,p134
78,0.0,s355,p134
79,0.0,s355,p134
80,0.0,s355,p134
81,0.0,s355,p134
82,0.0,s355,p134
83,0.0,s355,p134
84,0.0,s355,p134
85,0.0,s355,p134
86,0.0,s355,p134
87,0.0,s355,p134
88,0.07276166808372912,s355,p134
89,0.04681861285312916,s355,p134
90,0.028386925486766128,s355,p134
91,0.028386925486766128,s355,p134
92,0.0,s355,p134
93,0.0,s355,p134
94,0.0,s355,p134
95,0.0335881216322451,s355,p134
96,0.0,s355,p134
97,0.0,s355,p134
98,0.0,s355,p134
99,0.0,s355,p134
100,0.0,s355,p134
101,0.0,s355,p134
102,0.0,s355,p134
103,0.0,s355,p134
104,0.0,s355,p134
105,0.0,s356,p134
106,0.0,s355,p134
107,0.0,s355,p134
108,0.0,s355,p134
109,0.0,s355,p134
110,0.0,s355,p134
111,0.0,s356,p134
112,0.0,s355,p134
113,0.0,s355,p134
114,0.0,s355,p134
115,0.0,s355,p134
116,0.0,s355,p134
117,0.0,s355,p134
118,0.0,s355,p134
119,0.0,s355,p134
120,0.0,s355,p134
121,0.0,s355,p134
122,0.0,s355,p134
123,0.0,s355,p134
124,0.0,s355,p134
125,0.0,s355,p134
126,0.0,s355,p134
127,0.0,s355,p134
128,0.0,s355,p134
129,0.0,s355,p134
130,0.0,s355,p134
131,0.0,s355,p134
132,0.0,s355,p134
133,0.0,s355,p134
134,0.0,s356,p134
135,0.0,s356,p134
136,0.0,s356,p134
137,0.0,s356,p134
138,0.0,s356,p134
139,0.011580177985367989,s356,p134
140,0.02283050634560608,s356,p134
141,0.0,s356,p134
142,0.0,s356,p134
143,0.0,s356,p134
144,0.0,s356,p134
145,0.0,s356,p134
146,0.0,s356,p134
147,0.0,s356,p134
148,0.0,s356,p134
149,0.0,s356,p134
150,0.0,s356,p134
151,0.009675392121462985,s356,p134
152,0.009675392121462985,s356,p134
153,0.0,s356,p134
154,0.0,s356,p134
155,0.0,s356,p134
156,0.0,s356,p134
157,0.0,s356,p134
158,0.0,s356,p134
159,0.0,s356,p134
160,0.0,s356,p134
161,0.05123561580024463,s356,p134
162,0.013025430752272358,s356,p134
163,0.08190953522474935,s356,p134
164,0.08190953522474935,s356,p134
165,0.0,s355,p134
166,0.0,s355,p134
167,0.0,s355,p134
168,0.0,s356,p134
169,0.0,s356,p134
170,0.0,s356,p134
171,0.0,s356,p134
172,0.0,s356,p134
173,0.0,s356,p134
174,0.032334159280150265,s356,p134
175,0.0,s356,p134
176,0.0,s356,p134
177,0.0,s356,p134
178,0.0,s356,p134
179,0.0,s356,p134
180,0.0,s356,p134
181,0.0,s356,p134
182,0.0,s356,p134
183,0.0,s356,p134
184,0.026340990222731325,s356,p134
185,0.0,s356,p134
186,0.0,s356,p134
187,0.0,s356,p134
188,0.0,s356,p134
189,0.0,s356,p134
190,0.0,s356,p134
191,0.0,s356,p134
192,0.0,s356,p134
193,0.0,s356,p134
194,0.0,s356,p134
195,0.0,s356,p134
196,0.0,s356,p134
197,0.0,s356,p134
198,0.0,s356,p134
199,0.0,s356,p134
200,0.0,s356,p134
201,0.0,s356,p134
202,0.0,s356,p134
203,0.0,s356,p134
204,0.0,s356,p134
205,0.0,s356,p134
206,0.0,s356,p134
207,0.0,s356,p134
208,0.0,s356,p134
209,0.0,s356,p134
210,0.0,s356,p134
211,0.0,s356,p134
212,0.0,s356,p134
213,0.0,s356,p134
214,0.0,s356,p134
215,0.0,s356,p134
216,0.0,s356,p134
217,0.0,s356,p134
218,0.0,s356,p134
219,0.0,s356,p134
220,0.0,s356,p134
221,0.0,s356,p134
222,0.0,s356,p134
223,0.0,s356,p134
224,0.0,s356,p134
225,0.0,s356,p134
226,0.0,s356,p134
227,0.0,s356,p134
228,0.0,s356,p134
229,0.0,s356,p134
230,0.0,s356,p134
231,0.0,s356,p134
232,0.0,s356,p134
233,0.0,s356,p134
234,0.0,s356,p134
235,0.0,s355,p134
236,0.0,s355,p134
237,0.0,s355,p134
238,0.0,s355,p134
239,0.0,s355,p134
240,0.0,s355,p134
241,0.0,s355,p134
242,0.0,s355,p134
243,0.0,s355,p134
244,0.0,s355,p134
245,0.0,s355,p134
246,0.0,s355,p134
247,0.0,s355,p134
248,0.0,s356,p134
249,0.0,s356,p134
250,0.0,s355,p134
251,0.0,s355,p134
252,0.0,s355,p134
253,0.0,s355,p134
254,0.0,s355,p134
255,0.0,s355,p134
256,0.0,s355,p134
257,0.0,s355,p134
258,0.0,s355,p134
259,0.0,s355,p134
260,0.0,s355,p134
261,0.0,s355,p134
262,0.0,s355,p134
263,0.0,s355,p134
264,0.0,s356,p134
265,0.0,s356,p134
266,0.0,s356,p134
267,0.0,s356,p134
268,0.0,s356,p134
269,0.021269612096284682,s356,p134
270,0.021269612096284682,s356,p134
271,0.0,s356,p134
272,0.0349896467521788,s356,p134
273,0.0349896467521788,s356,p134
274,0.1320848971625492,s356,p134
275,0.1320848971625492,s356,p134
276,0.0,s356,p134
277,0.015663849363085368,s356,p134
278,0.0,s356,p134
279,0.0,s356,p134
280,0.0,s356,p134
281,0.0,s356,p134
282,0.0,s356,p134
283,0.0,s356,p134
284,0.0,s356,p134
285,0.0,s356,p134
286,0.0,s356,p134
287,0.0,s356,p134
288,0.0,s356,p134
289,0.0,s356,p134
290,0.0,s356,p134
291,0.0,s356,p134
292,0.0,s356,p134
293,0.0,s356,p134
294,0.0,s356,p134
295,0.0,s356,p134
296,0.0,s356,p134
297,0.0,s356,p134
298,0.0,s356,p134
299,0.0,s356,p134
300,0.0,s356,p134
301,0.0,s356,p134
302,0.0,s356,p134
303,0.0,s356,p134
304,0.0,s356,p134
305,0.12308822664321088,s356,p134
306,0.12308822664321088,s356,p134
307,0.056045292711675826,s356,p134
308,0.15678013853528827,s356,p134
309,0.0,s356,p134
310,0.0,s356,p134
311,0.0,s356,p134
312,0.0,s356,p134
313,0.0,s356,p134
314,0.0,s356,p134
315,0.0,s356,p134
316,0.0,s356,p134
317,0.0,s356,p134
318,0.0,s356,p134
319,0.0,s356,p134
320,0.0,s356,p134
321,0.0,s356,p134
