,bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf,mu_Pmax,mu_Pmin,mu_Qmax,mu_Qmin
0,845,186.58,40.25,95.08,-20.73,1.009,224.16,1,186.8,36.02,0,0,0,0,0,0,0,0,0,0,186.8,0.0,0.0,0.0,0.0
1,850,211.25,32.45,98.56,-25.8,1.0488,253.8,1,211.5,83.04,0,0,0,0,0,0,0,0,0,0,211.5,0.0,0.0,0.0,0.0
2,851,211.25,53.96,98.56,-25.8,1.05,253.8,1,211.5,80.7,0,0,0,0,0,0,0,0,0,0,211.5,0.0,0.0,0.0,0.0
3,852,211.25,53.57,98.56,-25.8,1.0545,253.8,1,211.5,40.64,0,0,0,0,0,0,0,0,0,0,211.5,0.0,0.0,0.0,0.0
4,853,211.25,32.45,98.56,-25.8,1.0488,253.8,1,211.5,104.92,0,0,0,0,0,0,0,0,0,0,211.5,0.0,0.0,0.0,0.0
5,856,1.2,0.46,0.46,-0.06,1.038,1.44,1,1.2,0.48,0,0,0,0,0,0,0,0,0,0,1.2,0.0,0.0,0.0,0.0
6,856,0.0,0.0,0.46,-0.06,1.038,1.44,0,1.2,0.35,0,0,0,0,0,0,0,0,0,0,1.2,0.0,0.0,0.0,0.0
7,856,0.0,0.0,0.46,-0.06,1.038,1.44,0,1.2,0.18,0,0,0,0,0,0,0,0,0,0,1.2,0.0,0.0,0.0,0.0
8,856,1.2,0.46,0.46,-0.06,1.038,1.44,1,1.2,0.5,0,0,0,0,0,0,0,0,0,0,1.2,0.0,0.0,0.0,0.0
9,856,1.2,0.46,0.46,-0.06,1.038,1.44,1,1.2,0.51,0,0,0,0,0,0,0,0,0,0,1.2,0.0,0.0,0.0,0.0
10,856,0.0,0.0,0.46,-0.06,1.038,1.44,0,1.2,0.32,0,0,0,0,0,0,0,0,0,0,1.2,0.0,0.0,0.0,0.0
11,859,0.0,0.0,1.53,-0.33,1.04,3.6,0,3.0,1.21,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0
12,863,6.49,2.5,2.5,-0.32,1.04,7.8,1,6.5,2.08,0,0,0,0,0,0,0,0,0,0,6.5,0.0,0.0,0.0,0.0
13,863,6.49,2.5,2.5,-0.32,1.04,7.8,1,6.5,3.11,0,0,0,0,0,0,0,0,0,0,6.5,0.0,0.0,0.0,0.0
14,869,6.39,-0.31,2.46,-0.31,1.01,7.68,1,6.4,1.1,0,0,0,0,0,0,0,0,0,0,6.4,0.0,0.0,0.0,0.0
15,869,6.39,-0.31,2.46,-0.31,1.01,7.68,1,6.4,1.07,0,0,0,0,0,0,0,0,0,0,6.4,0.0,0.0,0.0,0.0
16,870,6.39,-0.31,2.46,-0.31,1.016,7.68,1,6.4,1.06,0,0,0,0,0,0,0,0,0,0,6.4,0.0,0.0,0.0,0.0
