	bus	Pg	Qg	Qmax	Qmin	Vg	mBase	status	Pmax	Pmin	Pc1	Pc2	Qc1min	Qc1max	Qc2min	Qc2max	ramp_agc	ramp_10	ramp_30	ramp_q	apf	mu_Pmax	mu_Pmin	mu_Qmax	mu_Qmin
	845	186.58	40.25	95.08	-20.73	1.009	224.16	1	186.8	36.02	0	0	0	0	0	0	0	0	0	0	186.8	0.0000	0.0000	0.0000	0.0000
	850	211.25	32.45	98.56	-25.8	1.0488	253.8	1	211.5	83.04	0	0	0	0	0	0	0	0	0	0	211.5	0.0000	0.0000	0.0000	0.0000
	851	211.25	53.96	98.56	-25.8	1.05	253.8	1	211.5	80.7	0	0	0	0	0	0	0	0	0	0	211.5	0.0000	0.0000	0.0000	0.0000
	852	211.25	53.57	98.56	-25.8	1.0545	253.8	1	211.5	40.64	0	0	0	0	0	0	0	0	0	0	211.5	0.0000	0.0000	0.0000	0.0000
	853	211.25	32.45	98.56	-25.8	1.0488	253.8	1	211.5	104.92	0	0	0	0	0	0	0	0	0	0	211.5	0.0000	0.0000	0.0000	0.0000
	856	1.2	0.46	0.46	-0.06	1.038	1.44	1	1.2	0.48	0	0	0	0	0	0	0	0	0	0	1.2	0.0000	0.0000	0.0000	0.0000
	856	0	0	0.46	-0.06	1.038	1.44	0	1.2	0.35	0	0	0	0	0	0	0	0	0	0	1.2	0.0000	0.0000	0.0000	0.0000
	856	0	0	0.46	-0.06	1.038	1.44	0	1.2	0.18	0	0	0	0	0	0	0	0	0	0	1.2	0.0000	0.0000	0.0000	0.0000
	856	1.2	0.46	0.46	-0.06	1.038	1.44	1	1.2	0.5	0	0	0	0	0	0	0	0	0	0	1.2	0.0000	0.0000	0.0000	0.0000
	856	1.2	0.46	0.46	-0.06	1.038	1.44	1	1.2	0.51	0	0	0	0	0	0	0	0	0	0	1.2	0.0000	0.0000	0.0000	0.0000
	856	0	0	0.46	-0.06	1.038	1.44	0	1.2	0.32	0	0	0	0	0	0	0	0	0	0	1.2	0.0000	0.0000	0.0000	0.0000
	859	0	0	1.53	-0.33	1.04	3.6	0	3	1.21	0	0	0	0	0	0	0	0	0	0	3	0.0000	0.0000	0.0000	0.0000
	863	6.49	2.5	2.5	-0.32	1.04	7.8	1	6.5	2.08	0	0	0	0	0	0	0	0	0	0	6.5	0.0000	0.0000	0.0000	0.0000
	863	6.49	2.5	2.5	-0.32	1.04	7.8	1	6.5	3.11	0	0	0	0	0	0	0	0	0	0	6.5	0.0000	0.0000	0.0000	0.0000
	869	6.39	-0.31	2.46	-0.31	1.01	7.68	1	6.4	1.1	0	0	0	0	0	0	0	0	0	0	6.4	0.0000	0.0000	0.0000	0.0000
	869	6.39	-0.31	2.46	-0.31	1.01	7.68	1	6.4	1.07	0	0	0	0	0	0	0	0	0	0	6.4	0.0000	0.0000	0.0000	0.0000
	870	6.39	-0.31	2.46	-0.31	1.016	7.68	1	6.4	1.06	0	0	0	0	0	0	0	0	0	0	6.4	0.0000	0.0000	0.0000	0.0000
	873	14.18	5.45	5.45	-0.7	1.045	17.04	1	14.2	3.53	0	0	0	0	0	0	0	0	0	0	14.2	0.0000	0.0000	0.0000	0.0000
	874	14.18	-0.7	5.45	-0.7	1.041	17.04	1	14.2	6.28	0	0	0	0	0	0	0	0	0	0	14.2	0.0000	0.0000	0.0000	0.0000
	881	137.09	29.08	69.86	-15.23	1.0291	164.7	1	137.25	68.21	0	0	0	0	0	0	0	0	0	0	137.25	0.0000	0.0000	0.0000	0.0000
	882	137.09	34.39	69.86	-15.23	1.031	164.7	1	137.25	47.32	0	0	0	0	0	0	0	0	0	0	137.25	0.0000	0.0000	0.0000	0.0000
	885	0.3	-0.01	0.12	-0.01	1.038	0.36	1	0.3	0.14	0	0	0	0	0	0	0	0	0	0	0.3	0.0000	0.0000	0.0000	0.0000
	885	0.3	-0.01	0.12	-0.01	1.038	0.36	1	0.3	0.13	0	0	0	0	0	0	0	0	0	0	0.3	0.0000	0.0000	0.0000	0.0000
	885	0.3	-0.01	0.12	-0.01	1.038	0.36	1	0.3	0.11	0	0	0	0	0	0	0	0	0	0	0.3	0.0000	0.0000	0.0000	0.0000
