,type
0,ng
1,dfo
2,dfo
3,dfo
4,dfo
5,hydro
6,hydro
7,hydro
8,hydro
9,hydro
10,hydro
11,ng
12,hydro
13,hydro
14,hydro
15,hydro
16,hydro
17,hydro
18,hydro
19,ng
20,ng
21,hydro
22,hydro
23,hydro
24,hydro
25,hydro
26,hydro
27,hydro
28,hydro
29,hydro
30,hydro
31,wind
32,wind
33,hydro
34,hydro
35,hydro
36,hydro
37,hydro
38,hydro
39,hydro
40,hydro
41,hydro
42,hydro
43,hydro
44,hydro
45,hydro
46,hydro
47,hydro
48,hydro
49,hydro
50,hydro
51,hydro
52,hydro
53,hydro
54,hydro
55,hydro
56,hydro
57,hydro
58,hydro
59,hydro
60,hydro
61,hydro
62,hydro
63,wind
64,hydro
65,hydro
66,hydro
67,hydro
68,hydro
69,hydro
70,wind
71,dfo
72,dfo
73,hydro
74,hydro
75,hydro
76,hydro
77,hydro
78,hydro
79,hydro
80,hydro
81,hydro
82,hydro
83,hydro
84,hydro
85,hydro
86,hydro
87,hydro
88,hydro
89,hydro
90,hydro
91,hydro
92,hydro
93,hydro
94,hydro
95,hydro
96,hydro
97,hydro
98,dfo
99,dfo
100,dfo
101,ng
102,ng
103,ng
104,hydro
105,hydro
106,hydro
107,hydro
108,hydro
109,hydro
110,hydro
111,hydro
112,hydro
113,ng
114,ng
115,ng
116,wind
117,hydro
118,dfo
119,hydro
120,hydro
121,hydro
122,hydro
123,hydro
124,hydro
125,wind
126,hydro
127,hydro
128,hydro
129,hydro
130,hydro
131,dfo
132,hydro
133,hydro
134,hydro
135,hydro
136,hydro
137,hydro
138,hydro
139,hydro
140,dfo
141,dfo
142,dfo
143,dfo
144,hydro
145,hydro
146,hydro
147,hydro
148,hydro
149,hydro
150,hydro
151,hydro
152,hydro
153,hydro
154,hydro
155,hydro
156,hydro
157,dfo
158,hydro
159,hydro
160,hydro
161,hydro
162,hydro
163,hydro
164,hydro
165,coal
166,hydro
167,hydro
168,hydro
169,hydro
170,hydro
171,hydro
172,hydro
173,hydro
174,hydro
175,hydro
176,hydro
177,hydro
178,hydro
179,hydro
180,hydro
181,hydro
182,hydro
183,hydro
184,hydro
185,wind
186,hydro
187,hydro
188,hydro
189,hydro
190,hydro
191,hydro
192,hydro
193,hydro
194,hydro
195,hydro
196,hydro
197,hydro
198,hydro
199,ng
200,ng
201,ng
202,wind
203,ng
204,ng
205,ng
206,hydro
207,hydro
208,hydro
209,hydro
210,hydro
211,hydro
212,dfo
213,dfo
214,dfo
215,dfo
216,dfo
217,dfo
218,wind
219,hydro
220,hydro
221,hydro
222,hydro
223,hydro
224,hydro
225,hydro
226,hydro
227,hydro
228,hydro
229,hydro
230,hydro
231,hydro
232,dfo
233,coal
234,coal
235,coal
236,coal
237,hydro
238,hydro
239,hydro
240,hydro
241,hydro
242,dfo
243,dfo
244,dfo
245,dfo
246,dfo
247,dfo
248,dfo
249,dfo
250,dfo
251,ng
252,wind
253,hydro
254,ng
255,ng
256,ng
257,nuclear
258,dfo
259,hydro
260,hydro
261,hydro
262,hydro
263,hydro
264,hydro
265,hydro
266,hydro
267,hydro
268,hydro
269,hydro
270,wind
271,wind
272,hydro
273,hydro
274,hydro
275,hydro
276,hydro
277,hydro
278,hydro
279,hydro
280,hydro
281,hydro
282,hydro
283,hydro
284,hydro
285,hydro
286,hydro
287,hydro
288,hydro
289,dfo
290,dfo
291,dfo
292,dfo
293,dfo
294,hydro
295,hydro
296,hydro
297,hydro
298,hydro
299,hydro
300,hydro
301,hydro
302,hydro
303,hydro
304,dfo
305,hydro
306,dfo
307,dfo
308,hydro
309,hydro
310,hydro
311,hydro
312,hydro
313,hydro
314,hydro
315,hydro
316,hydro
317,hydro
318,hydro
319,hydro
320,hydro
321,hydro
322,hydro
323,hydro
324,hydro
325,hydro
326,hydro
327,hydro
328,hydro
329,hydro
330,hydro
331,hydro
332,dfo
333,hydro
334,hydro
335,hydro
336,ng
337,ng
338,ng
339,hydro
340,hydro
341,hydro
342,hydro
343,hydro
344,hydro
345,hydro
346,hydro
347,hydro
348,hydro
349,hydro
350,dfo
351,dfo
352,dfo
353,hydro
354,hydro
355,hydro
356,hydro
357,hydro
358,dfo
359,dfo
360,hydro
361,hydro
362,hydro
363,hydro
364,hydro
365,hydro
366,hydro
367,hydro
368,hydro
369,hydro
370,hydro
371,hydro
372,hydro
373,hydro
374,hydro
375,solar
376,solar
377,dfo
378,dfo
379,dfo
380,dfo
381,hydro
382,hydro
383,hydro
384,hydro
385,hydro
386,hydro
387,hydro
388,dfo
389,wind
390,solar
391,solar
392,hydro
393,hydro
394,hydro
395,hydro
396,hydro
397,hydro
398,hydro
399,hydro
400,hydro
401,hydro
402,hydro
403,solar
404,solar
405,solar
406,hydro
407,hydro
408,hydro
409,dfo
410,hydro
411,hydro
412,hydro
413,hydro
414,hydro
415,hydro
416,hydro
417,hydro
418,hydro
419,hydro
420,dfo
421,wind
422,hydro
423,hydro
424,hydro
425,hydro
426,hydro
427,hydro
428,hydro
429,hydro
430,hydro
431,hydro
432,hydro
433,hydro
434,hydro
435,hydro
436,hydro
437,hydro
438,hydro
439,hydro
440,solar
441,solar
442,solar
443,wind
444,solar
445,solar
446,dfo
447,hydro
448,hydro
449,hydro
450,hydro
451,hydro
452,hydro
453,hydro
454,hydro
455,hydro
456,hydro
457,hydro
458,hydro
459,dfo
460,dfo
461,solar
462,solar
463,solar
464,hydro
465,hydro
466,hydro
467,hydro
468,hydro
469,hydro
470,hydro
471,hydro
472,hydro
473,hydro
474,hydro
475,wind
476,hydro
477,hydro
478,hydro
479,hydro
480,hydro
481,hydro
482,hydro
483,hydro
484,hydro
485,hydro
486,ng
487,ng
488,ng
489,solar
490,solar
491,solar
492,solar
493,solar
494,solar
495,hydro
496,hydro
497,hydro
498,hydro
499,hydro
500,hydro
501,hydro
502,solar
503,solar
504,solar
505,wind
506,wind
507,wind
508,ng
509,ng
510,ng
511,solar
512,solar
513,solar
514,solar
515,solar
516,solar
517,solar
518,hydro
519,coal
520,hydro
521,hydro
522,hydro
523,hydro
524,dfo
525,ng
526,ng
527,ng
528,dfo
529,dfo
530,dfo
531,dfo
532,wind
533,hydro
534,hydro
535,hydro
536,hydro
537,hydro
538,hydro
539,ng
540,solar
541,hydro
542,hydro
543,hydro
544,hydro
545,hydro
546,hydro
547,ng
548,solar
549,solar
550,solar
551,solar
552,dfo
553,dfo
554,dfo
555,dfo
556,dfo
557,dfo
558,dfo
559,dfo
560,dfo
561,dfo
562,dfo
563,solar
564,solar
565,solar
566,solar
567,solar
568,solar
569,solar
570,solar
571,solar
572,solar
573,solar
574,solar
575,solar
576,ng
577,ng
578,ng
579,ng
580,ng
581,solar
582,solar
583,solar
584,ng
585,ng
586,ng
587,ng
588,dfo
589,dfo
590,dfo
591,dfo
592,dfo
593,dfo
594,dfo
595,dfo
596,dfo
597,solar
598,solar
599,solar
600,coal
601,coal
602,coal
603,ng
604,solar
605,solar
606,ng
607,ng
608,ng
609,ng
610,ng
611,ng
612,dfo
613,dfo
614,dfo
615,dfo
616,dfo
